Player,Nation,Pos,Squad,Comp,Age,90s,TacklesAttemptedp90,TacklesAttempted,TacklesWonp90,TacklesWon,Def. Duels Attemptedp90,Def. Duels Attempted,Def. Duels Won Perc,Succ Pressure Perc,Def 3rd Pressurep90,Def 3rd Pressure,Mid 3rd Pressurep90,Mid 3rd Pressure,Interceptionsp90,Interceptions,Foulsp90,Fouls,AerialDuels_won,AerialDuels_lost,AerialDuelsAttemptedp90,AerialDuelsPer,TimesDribbledPastp90,TimesDribbledPast,TouchesAttacking3rd
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,27.9,1.83,51,1.15,32,1.94,54,40.7,27.7,5.7,159,2.54,71,1.65,46,0.32,9,12,17,1.04,41.4,1.15,32,532
Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,36,1.78,64,1,36,1.25,45,46.7,27.2,7.81,281,3.94,142,0.97,35,0.81,29,23,42,1.81,35.4,0.67,24,594
Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,28,2.18,61,1.32,37,1,28,50,37.1,6.75,189,3.46,97,1.75,49,0.75,21,86,42,4.57,67.2,0.5,14,61
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,18.8,1.6,30,1.17,22,1.81,34,47.1,37.5,5.8,109,4.15,78,1.22,23,0.74,14,51,32,4.41,61.4,0.96,18,87
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,35.1,1.48,52,0.94,33,0.74,26,50,35.6,6.07,213,2.31,81,1.2,42,0.71,25,73,35,3.08,67.6,0.37,13,202
Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,10.6,2.17,23,1.13,12,2.83,30,30,30.9,7.45,79,8.3,88,1.23,13,0.85,9,10,16,2.45,38.5,1.98,21,196
Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,2.6,1.92,5,1.15,3,0.77,2,0,24,10.77,28,4.23,11,1.54,4,1.15,3,4,2,2.31,66.7,0.77,2,37
Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,20.1,1.74,35,1.14,23,1.74,35,51.4,29.3,6.42,129,3.48,70,1.24,25,0.65,13,14,15,1.44,48.3,0.85,17,333
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,23.3,2.15,50,0.94,22,2.15,50,50,24.2,5.06,118,4.55,106,0.77,18,1.37,32,23,20,1.85,53.5,1.07,25,223
Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,10.6,1.32,14,1.04,11,1.23,13,46.2,26.4,6.98,74,2.83,30,1.7,18,1.23,13,41,13,5.09,75.9,0.66,7,15
Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,11.9,3.28,39,2.35,28,2.27,27,66.7,35,8.32,99,6.3,75,0.92,11,0.84,10,16,15,2.61,51.6,0.76,9,292
Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,27.8,1.44,40,0.94,26,1.01,28,28.6,35.5,7.84,218,2.84,79,1.65,46,0.61,17,59,50,3.92,54.1,0.72,20,50
Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,23.1,2.12,49,1.21,28,2.12,49,49,29.1,6.1,141,5.67,131,1.82,42,1.13,26,26,23,2.12,53.1,1.08,25,432
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,14.2,2.25,32,1.27,18,1.69,24,25,37.1,7.32,104,5.85,83,1.41,20,0.77,11,19,8,1.9,70.4,1.27,18,269
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,25.7,1.71,44,0.89,23,1.17,30,56.7,38.6,5.02,129,3.23,83,1.25,32,0.43,11,41,31,2.8,56.9,0.51,13,82
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,27.8,0.9,25,0.4,11,0.86,24,29.2,29.7,5.25,146,2.37,66,1.19,33,0.32,9,64,58,4.39,52.5,0.61,17,86
Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,12.7,2.13,27,0.87,11,2.52,32,46.9,33.1,8.35,106,4.25,54,0.94,12,0.63,8,21,26,3.7,44.7,1.34,17,31
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,27.8,0.97,27,0.61,17,0.86,24,41.7,38.2,2.81,78,3.92,109,1.08,30,0.36,10,22,27,1.76,44.9,0.5,14,248
Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,15.6,3.08,48,1.86,29,3.14,49,49,30.4,7.88,123,5.26,82,1.35,21,0.9,14,8,20,1.79,28.6,1.6,25,282
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,24.3,1.03,25,0.58,14,1.23,30,26.7,29.4,3.66,89,3.91,95,1.56,38,0.74,18,10,14,0.99,41.7,0.91,22,832
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,36,1.39,50,0.92,33,0.92,33,54.5,30.6,4.78,172,2.83,102,1.19,43,0.83,30,78,41,3.31,65.5,0.42,15,51
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,32.9,1.34,44,0.73,24,1.09,36,38.9,32.2,5.14,169,2.4,79,0.79,26,0.55,18,76,54,3.95,58.5,0.67,22,114
Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,21.3,2.07,44,1.31,28,2.35,50,40,28.1,7.98,170,7.51,160,1.6,34,1.46,31,38,22,2.82,63.3,1.41,30,319
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,35.3,1.64,58,0.71,25,2.41,85,40,32,5.47,193,3.48,123,1.3,46,0.62,22,14,32,1.3,30.4,1.44,51,1246
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,15.9,1.7,27,1.19,19,1.76,28,17.9,40.9,5.6,89,5.28,84,1.26,20,1.01,16,42,31,4.59,57.5,1.45,23,511
Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,15.3,2.81,43,1.24,19,2.22,34,47.1,26.7,7.97,122,5.29,81,1.05,16,0.92,14,35,9,2.88,79.5,1.18,18,201
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,31.2,1.25,39,0.8,25,0.99,31,41.9,35.6,4.65,145,2.05,64,2.05,64,0.58,18,88,61,4.78,59.1,0.58,18,69
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,29.7,0.77,23,0.37,11,0.47,14,64.3,28.5,4.48,133,1.08,32,0.94,28,0.81,24,88,23,3.74,79.3,0.17,5,85
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,8.4,2.5,21,0.83,7,1.31,11,27.3,24.3,7.62,64,4.76,40,2.02,17,0.95,8,15,14,3.45,51.7,0.95,8,14
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,24,2.58,62,1.17,28,2.83,68,45.6,30.7,5.92,142,4.08,98,2.33,56,1.71,41,72,19,3.79,79.1,1.54,37,379
Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,18.1,1.49,27,0.83,15,1.27,23,39.1,23.4,7.07,128,3.09,56,1.05,19,1.27,23,20,17,2.04,54.1,0.77,14,189
Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,0.9,5.56,5,3.33,3,2.22,2,50,53.3,10,9,6.67,6,1.11,1,0,0,3,0,3.33,100,1.11,1,3
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,17,1.06,18,0.59,10,1.12,19,31.6,31.8,4.65,79,1.41,24,0.59,10,1,17,56,25,4.76,69.1,0.76,13,47
Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1.9,0.53,1,0.53,1,0,0,,20.8,5.26,10,4.74,9,1.58,3,2.11,4,1,2,1.58,33.3,0,0,33
José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,26.2,2.37,62,1.18,31,1.64,43,58.1,33.1,4.08,107,4.12,108,1.3,34,0.8,21,47,27,2.82,63.5,0.69,18,486
Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,12.2,1.15,14,0.66,8,1.64,20,35,39.4,2.95,36,4.75,58,1.56,19,0.98,12,10,16,2.13,38.5,1.07,13,214
Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,4.7,1.7,8,1.06,5,1.28,6,83.3,38.3,2.98,14,5.32,25,1.91,9,0.43,2,8,8,3.4,50,0.21,1,325
Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,11.8,0.85,10,0.42,5,1.27,15,13.3,22.5,5.42,64,3.81,45,0.76,9,0.76,9,9,4,1.1,69.2,1.1,13,242
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,19.6,2.24,44,1.38,27,1.99,39,35.9,33.6,5.71,112,4.59,90,0.77,15,1.43,28,14,16,1.53,46.7,1.28,25,454
Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,11.4,2.19,25,1.4,16,2.37,27,44.4,33.1,7.63,87,4.04,46,1.58,18,1.58,18,10,8,1.58,55.6,1.32,15,150
Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,17.8,3.54,63,1.8,32,2.53,45,42.2,32,8.2,146,7.08,126,1.18,21,1.46,26,22,14,2.02,61.1,1.46,26,214
Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,0.9,5.56,5,2.22,2,4.44,4,75,29.2,15.56,14,6.67,6,2.22,2,2.22,2,0,0,0,,1.11,1,20
Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,32.1,1.46,47,0.84,27,1,32,46.9,32.7,4.49,144,1.99,64,1.62,52,0.84,27,91,36,3.96,71.7,0.53,17,51
Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,2.6,1.54,4,0.77,2,1.54,4,75,30.8,6.92,18,3.08,8,0.38,1,0.77,2,5,3,3.08,62.5,0.38,1,2
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,22.3,1.48,33,0.9,20,1.7,38,31.6,35.2,3.86,86,2.78,62,1.39,31,0.99,22,56,28,3.77,66.7,1.17,26,169
Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,12,2.5,30,1.42,17,1.75,21,52.4,37.9,5.5,66,3.5,42,2,24,0.67,8,21,20,3.42,51.2,0.83,10,243
Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,0,#DIV/0!,1,#DIV/0!,0,#DIV/0!,1,100,20,#DIV/0!,5,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,1,#DIV/0!,0,#DIV/0!,0,0
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30,7.1,1.27,9,0.7,5,2.11,15,40,26,3.94,28,6.06,43,1.41,10,0.85,6,3,4,0.99,42.9,1.27,9,165
Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24,12.6,1.19,15,1.03,13,0.63,8,62.5,17.5,3.81,48,2.46,31,1.11,14,0.56,7,15,5,1.59,75,0.24,3,292
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,10.3,2.91,30,1.75,18,3.11,32,40.6,34.1,7.48,77,5.53,57,1.26,13,1.75,18,21,15,3.5,58.3,1.84,19,242
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,26,30,3.27,98,1.83,55,2.03,61,52.5,29.4,8.73,262,6.23,187,1.43,43,1.33,40,67,67,4.47,50,0.97,29,680
Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,es La Liga,22,22.2,1.76,39,1.17,26,1.13,25,48,34.8,5.68,126,3.24,72,1.26,28,0.99,22,49,48,4.37,50.5,0.59,13,62
Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,30.3,1.68,51,1.09,33,1.25,38,47.4,37.6,4.85,147,3.14,95,1.49,45,1.19,36,43,53,3.17,44.8,0.66,20,228
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,35.9,2.84,102,1.7,61,2.06,74,50,32.7,6.96,250,6.16,221,1.84,66,1.14,41,94,60,4.29,61,1.03,37,877
Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,33,9.2,3.7,34,2.28,21,2.72,25,48,34.8,10.43,96,7.07,65,1.85,17,1.09,10,21,13,3.7,61.8,1.41,13,179
Matthias Bader\Matthias-Bader,de GER,DF,Köln,de Bundesliga,22,0.1,10,1,10,1,10,1,100,100,10,1,0,0,0,0,0,0,0,0,0,,0,0,1
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1.7,0,0,0,0,0.59,1,0,23.5,5.88,10,4.12,7,1.76,3,1.18,2,6,1,4.12,85.7,0.59,1,0
Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26,14.1,2.06,29,1.35,19,0.64,9,77.8,33.3,4.54,64,2.34,33,2.13,30,0.57,8,38,15,3.76,71.7,0.14,2,7
Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,34,4.5,2.22,10,1.33,6,1.56,7,28.6,27.5,6.22,28,2.22,10,1.11,5,0.22,1,6,6,2.67,50,1.11,5,103
Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,1,3,3,3,3,1,1,0,69.2,8,8,3,3,0,0,1,1,0,1,1,0,1,1,19
Ridle Baku\Ridle-Baku,de GER,DFMF,Mainz 05,de Bundesliga,21,26.1,2.15,56,1.34,35,2.11,55,36.4,28.3,7.7,201,9.04,236,1.61,42,1.26,33,23,37,2.3,38.3,1.34,35,458
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,27,13.1,1.37,18,0.84,11,1.98,26,23.1,34.5,6.95,91,1.68,22,1.98,26,0.46,6,46,28,5.65,62.2,1.53,20,27
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26,38,1.95,74,1.18,45,1.26,48,52.1,28,6.39,243,5.5,209,0.97,37,1.24,47,37,55,2.42,40.2,0.61,23,932
Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,6.3,1.75,11,0.79,5,1.27,8,62.5,27.7,5.71,36,6.03,38,0.16,1,0.95,6,11,2,2.06,84.6,0.48,3,78
Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20,1.5,1.33,2,0.67,1,2.67,4,50,16.7,6.67,10,5.33,8,2.67,4,0.67,1,1,3,2.67,25,1.33,2,2
Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,22,18.7,2.25,42,1.28,24,1.66,31,48.4,32.9,6.74,126,4.87,91,1.23,23,0.91,17,17,9,1.39,65.4,0.86,16,292
Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,29,6.2,2.1,13,0.97,6,2.26,14,50,22.6,4.52,28,3.87,24,0.65,4,0.65,4,5,5,1.61,50,1.13,7,72
Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,25,24.5,2.2,54,1.35,33,1.31,32,56.3,33.2,8.98,220,6.49,159,2.08,51,1.8,44,102,65,6.82,61.1,0.57,14,46
Federico Barba\Federico-Barba,it ITA,DF,Valladolid,es La Liga,25,5,2.2,11,1.6,8,1.6,8,87.5,31,4,20,3,15,1.6,8,1.6,8,7,2,1.8,77.8,0.2,1,46
Danilo Barbosa\Danilo-Barbosa,br BRA,DFMF,Nice,fr Ligue 1,23,12.5,2.4,30,1.2,15,2.56,32,43.8,30.4,6.24,78,7.68,96,1.52,19,1.28,16,14,16,2.4,46.7,1.44,18,94
Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,18,0.5,0,0,0,0,0,0,,60,6,3,4,2,2,1,0,0,2,0,4,100,0,0,27
